Var Plan,Sales Region,Period,IT Area,IT Sub Area,Country/Region
84455.616,Europe,6,BU Support,Planning,United Kingdom
84439.653,Europe,9,Infrastructure,Hosting,United Kingdom
83604.618,Europe,11,BU Support,Distribution,Switzerland
83453.2080000001,Europe,10,Functional,R1,Belgium
83427.04800000001,Europe,4,Infrastructure,Networking,Switzerland
82522.33799999996,Europe,12,Functional,R3,Germany
82375.257,Europe,7,BU Support,Distribution,Germany
81441.01800000001,Europe,11,Enablement,Enterprise Capabilities,Spain
81224.01599999999,Europe,10,BU Support,Distribution,Italy
80769.3239999999,Europe,9,BU Support,Manufacturing,Spain
79062.44699999999,Europe,4,Governance,GRC,Germany
77898.63900000001,Europe,8,Infrastructure,Hosting,United Kingdom
77452.599,Europe,11,Functional,R1,United Kingdom
77330.682,Europe,12,Functional,R2,France
77020.04399999998,Europe,4,Enablement,Data Management,Germany
76970.601,Europe,12,BU Support,Emerging,Switzerland
75558.17400000001,Europe,11,BU Support,Distribution,Belgium
72966.71399999999,Europe,10,BU Support,Distribution,Switzerland
72477.77099999992,Europe,3,Infrastructure,Productivity,Germany
71733.86400000006,Europe,3,BU Support,Manufacturing,France
71097.417,Europe,11,BU Support,Emerging,Switzerland
70052.397,Europe,7,Infrastructure,Hosting,United Kingdom
69273.993,Europe,6,BU Support,Distribution,Germany
69091.24500000001,Europe,10,Enablement,Enterprise Capabilities,Spain
65798.89199999996,Europe,5,BU Support,Planning,United Kingdom
65603.109,Europe,2,Infrastructure,Help Desk,Ireland
65055.798,Europe,9,BU Support,Distribution,Switzerland
64941.33600000001,Europe,9,Enablement,Enterprise Capabilities,Spain
64925.816999999966,Europe,9,BU Support,Distribution,Italy
63571.635000000126,Europe,11,Infrastructure,Productivity,Italy
63457.62300000001,Europe,10,BU Support,Distribution,Belgium
62032.671,Europe,11,Governance,Other,Switzerland
61789.524000000005,Europe,12,Enablement,Enterprise Capabilities,Spain
61572.333,Europe,11,Infrastructure,Core Infrastructure,Switzerland
61333.52399999992,Europe,8,BU Support,Manufacturing,Spain
61316.56199999999,Europe,10,BU Support,Emerging,Switzerland
61315.56299999999,Europe,9,BU Support,Emerging,Switzerland
61196.046,Europe,6,Infrastructure,Hosting,United Kingdom
59723.8769999994,Europe,8,BU Support,Manufacturing,France
57091.560000000005,Europe,1,Infrastructure,Networking,Ireland
55939.137,Europe,8,BU Support,Distribution,Switzerland
55936.974,Europe,10,Functional,R1,United Kingdom
55301.94600000001,Europe,9,BU Support,Distribution,Belgium
54801.74699999997,Europe,8,BU Support,Distribution,Italy
54786.672,Europe,1,Governance,Administration,United Kingdom
53629.74900000002,Europe,8,BU Support,Distribution,Belgium
52262.05499999998,Europe,11,Functional,R3,Germany
52047.49499999999,Europe,11,Functional,R3,Spain
51681.762,Europe,7,BU Support,Distribution,Switzerland
51587.00399999999,Europe,3,Infrastructure,Networking,Switzerland
51161.35500000001,Europe,8,Enablement,Enterprise Capabilities,Spain
51094.101,Europe,5,Infrastructure,Hosting,United Kingdom
49998.075,Europe,7,Enablement,Enterprise Capabilities,Spain
49351.00199999999,Europe,3,Infrastructure,Help Desk,United Kingdom
48846.618,Europe,12,Infrastructure,Core Infrastructure,Austria
48651.882,Europe,10,Infrastructure,Core Infrastructure,Switzerland
48443.18999999994,Europe,4,Infrastructure,Productivity,Germany
48395.02499999998,Europe,10,Functional,R3,Germany
48222.882,Europe,5,BU Support,Distribution,Germany
47337.09299999997,Europe,9,Functional,R3,Germany
46796.74500000005,Europe,12,Infrastructure,Productivity,Belgium
46686.362999999976,Europe,7,BU Support,Distribution,Italy
46344.882,Europe,12,Infrastructure,Productivity,Denmark
46267.512,Europe,7,BU Support,Emerging,Switzerland
46267.512,Europe,8,BU Support,Emerging,Switzerland
46265.565,Europe,6,BU Support,Emerging,Switzerland
45724.926,Europe,5,Enablement,Enterprise Capabilities,Spain
45610.434,Europe,2,Infrastructure,Productivity,Spain
45594.921,Europe,9,Infrastructure,Core Infrastructure,Switzerland
45497.21399999998,Europe,4,BU Support,Planning,United Kingdom
45139.78499999999,Europe,4,Infrastructure,Productivity,Austria
44971.32,Europe,10,Functional,R3,Spain
44696.47799999997,Europe,3,Infrastructure,Data Centers,Ireland
44672.11800000001,Europe,7,BU Support,Distribution,Belgium
43503.68099999992,Europe,7,BU Support,Manufacturing,Spain
42994.35599999999,Europe,12,Infrastructure,Productivity,Portugal
42745.88999999999,Europe,9,Functional,R3,Spain
42634.68600000001,Europe,6,Enablement,Enterprise Capabilities,Spain
42563.59499999992,Europe,11,BU Support,Manufacturing,Germany
42263.49299999996,Europe,12,BU Support,Manufacturing,Germany
42136.34099999999,Europe,8,Functional,R3,Germany
41985.36899999999,Europe,3,Infrastructure,Productivity,Austria
41657.343,Europe,4,Infrastructure,Hosting,United Kingdom
41484.399,Europe,10,BU Support,Development,Belgium
41071.982999999775,Europe,7,Infrastructure,Productivity,United Kingdom
40879.749,Europe,8,Infrastructure,Core Infrastructure,Switzerland
40526.271,Europe,6,BU Support,Distribution,Switzerland
39796.932,Europe,2,Infrastructure,Networking,Switzerland
38987.27999999999,Europe,11,BU Support,Development,Belgium
38353.695,Europe,8,BU Support,Distribution,Czech Republic
38089.85699999998,Europe,9,BU Support,Development,Belgium
37132.794,Europe,12,BU Support,Development,Germany
37070.673,Europe,11,Functional,R2,France
36446.20799999999,Europe,12,Functional,R3,Spain
36328.506,Europe,2,Governance,GRC,Germany
36238.083,Europe,3,Enablement,Data Management,Germany
35927.477999999945,Europe,10,BU Support,Manufacturing,Germany
35823.627,Europe,11,BU Support,Development,Germany
35399.471999999994,Europe,8,Functional,R3,Spain
35381.19599999999,Europe,6,BU Support,Distribution,Italy
35351.205,Europe,9,Functional,R1,United Kingdom
35199.338999999985,Europe,10,Enablement,Data Management,Germany
34545.564,Europe,7,Infrastructure,Core Infrastructure,Switzerland
34476.78299999999,Europe,7,Functional,R3,Germany
34431.489,Europe,10,BU Support,Development,Germany
34085.49599999998,Europe,9,Enablement,Data Management,Germany
33860.47199999995,Europe,6,BU Support,Manufacturing,Spain
33818.55599999998,Europe,2,Infrastructure,Data Centers,Ireland
33787.995,Europe,3,Infrastructure,Hosting,United Kingdom
33543.414,Europe,8,Functional,R1,Hungary
33535.541999999994,Europe,1,Enablement,Mobility,United Kingdom
33530.55,Europe,7,Functional,R3,Spain
33075.726,Europe,9,BU Support,Development,Germany
33039.545999999995,Europe,12,BU Support,Development,Belgium
32666.03699999997,Europe,11,Enablement,Data Management,Germany
32402.352000000035,Europe,1,Infrastructure,Productivity,Switzerland
32345.600999999973,Europe,8,Enablement,Data Management,Germany
32317.809,Europe,1,Infrastructure,Help Desk,Ireland
32135.37299999997,Europe,12,Enablement,Data Management,Germany
31813.728000000003,Europe,5,BU Support,Distribution,Switzerland
31686.042,Europe,4,BU Support,Emerging,Switzerland
31686.042,Europe,5,BU Support,Emerging,Switzerland
